class,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13
g,-0.6,-0.8,109.16501271,1.10714871779,30.083217913,0.365652372423,0.93075149344,278.969222583,-10.9955742876,15.7079632679,12.3370055014,1.0,953.0
g,-1.0,0.0,158.372977493,0.785398163397,62.2655603042,0.497867518553,0.867253096835,372.106442506,-15.7079632679,23.5619449019,18.505508252,1.0,1219.0
g,0.216930457819,-0.976187060184,208.856410005,0.785398163397,25.495097568,0.980580675691,0.196116135138,593.970111465,-19.6349540849,19.6349540849,15.4212568767,7.0,1172.0
g,-0.554700196225,-0.832050294338,208.01922988,0.785398163397,61.7170964968,0.45368304067,-0.891163115601,567.768809737,-18.7076588669,29.7032331545,24.041316194,2.0,1625.0
g,0.0,-1.0,213.084490285,0.785398163397,40.4474968323,0.988936352868,-0.14834045293,665.910505546,-18.5278053671,23.8836954563,19.1144362603,4.0,1562.0
h,0.0,1.0,145.399449793,1.10714871779,139.84634425,0.386138088126,0.922440988301,300.262366593,-12.5663706144,12.5663706144,9.86960440109,4.0,547.0
h,0.124034734589,0.992277876714,113.635381814,1.10714871779,113.635381814,0.422403649583,0.906407831397,196.295133433,-12.1027230054,13.6735193322,11.0953826844,2.0,531.0
h,0.0,1.0,147.62791064,1.10714871779,145.773797371,0.377296887314,0.92609235977,277.78716005,-10.9955742876,10.9955742876,8.63590385095,2.0,563.0
h,0.0249921911602,0.999687646408,121.461928192,1.10714871779,116.86744628,0.402165029665,0.915567195194,245.838696622,-7.85398163397,9.42477796077,7.40220330082,2.0,609.0
h,0.0665190105238,0.997785157857,94.8103369892,1.10714871779,93.0215028905,0.451508508194,0.892266813811,208.638418354,-10.2101761242,10.2101761242,8.01905357589,2.0,625.0
h,0.0,1.0,125.574678976,1.2490457724,125.574678976,0.294645387921,0.955606663527,234.67631704,-6.14128825258,6.14128825258,5.53580794197,2.0,563.0
h,0.0,1.0,99.7246208316,1.10714871779,98.3514107677,0.32536391446,0.945588876398,185.597358503,-8.63937979737,8.63937979737,6.78535302575,2.0,656.0
h,0.0,1.0,108.756608995,0.785398163397,98.8129546163,0.586967571461,0.809610443394,237.039133652,-12.8881211688,12.8881211688,10.4785324093,2.0,594.0
h,0.0,1.0,161.616830807,1.32581766367,157.876534038,0.190021906566,0.98177985059,296.838676378,-11.5835768911,11.5835768911,9.90528324253,4.0,578.0
h,0.0,1.0,138.578497611,1.10714871779,138.578497611,0.346374082759,0.938096474139,227.269531598,-8.63937979737,10.2101761242,8.01905357589,1.0,594.0
h,0.0,1.0,125.251746495,1.10714871779,121.115647214,0.31374971669,0.949505721561,233.710774511,-10.9955742876,10.9955742876,8.63590385095,2.0,641.0
h,0.0,1.0,77.0778826902,1.10714871779,77.0778826902,0.38921671111,0.921146216294,129.269671117,-5.81953769818,7.39033402497,6.16058048386,1.0,687.0
h,1.0,0.0,107.042047813,0.785398163397,90.2108640908,0.587512385944,0.809215173092,180.38845133,-12.5663706144,12.5663706144,9.86960440109,1.0,625.0
h,0.14834045293,0.988936352868,153.075144945,1.2490457724,152.777616162,0.294545766131,0.955637374559,272.880767554,-14.9225651046,14.9225651046,11.7201552263,6.0,563.0
h,0.0,1.0,131.103012933,1.10714871779,129.807549857,0.362074471413,0.932149171083,226.214922177,-6.60493586158,8.17573218837,6.77743075893,1.0,625.0
h,0.0,1.0,121.630588258,1.10714871779,121.630588258,0.36997272351,0.929042616815,248.377044965,-11.780972451,11.780972451,9.25275412602,2.0,563.0
h,-0.116841247567,0.993150604323,112.53888217,1.10714871779,93.2308961665,0.386138088126,0.922440988301,203.420681175,-7.85398163397,7.85398163397,6.16850275068,2.0,468.0
h,0.860291533634,-0.509802390302,275.855034393,0.785398163397,109.567330897,0.894427191,0.4472135955,697.133262342,-16.1716108769,21.5275009661,17.2638854351,4.0,1235.0
h,1.0,0.0,168.240898714,0.785398163397,69.77105417,0.888620657055,0.45864291977,443.406787726,-17.6005101491,22.3128991295,17.8807357102,1.0,1141.0
h,0.894427191,-0.4472135955,173.51080658,0.0,145.399449793,0.928476690885,-0.371390676354,468.286254479,-17.7424072037,25.5963888377,20.6824738687,2.0,1625.0
i,0.0,1.0,75.3259583411,1.4711276743,75.3259583411,-0.0929294516016,0.995672695731,73.85087176,-2.35619449019,2.35619449019,1.8505508252,1.0,172.0
i,0.0,1.0,58.137767415,1.49948886201,58.137767415,0.0688020916154,0.997630328423,52.1867732449,-0.785398163397,0.785398163397,0.616850275068,0.0,203.0
